Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,PracticeSport,IsFirstChild,NrSiblings,WklyStudyHours,MathScore,ReadingScore,WritingScore,AverageScore,Passed
male,group B,some high school,standard,none,regularly,no,2.0,< 5,64,71,67,67.33333333333333,1
male,group C,some high school,standard,none,sometimes,yes,6.0,5 - 10,72,76,69,72.33333333333333,1
male,,some college,free/reduced,completed,sometimes,no,3.0,< 5,67,63,64,64.66666666666667,1
female,group C,some college,free/reduced,none,regularly,yes,3.0,5 - 10,42,50,50,47.333333333333336,0
female,,some high school,standard,none,sometimes,yes,3.0,5 - 10,63,59,59,60.333333333333336,1
female,group D,high school,free/reduced,completed,sometimes,yes,2.0,5 - 10,58,74,73,68.33333333333333,1
male,group C,associate's degree,free/reduced,none,sometimes,no,2.0,5 - 10,67,62,67,65.33333333333333,1
male,group B,high school,free/reduced,,regularly,yes,0.0,< 5,34,34,29,32.333333333333336,0
male,group B,associate's degree,standard,completed,regularly,yes,2.0,5 - 10,78,81,77,78.66666666666667,1
female,,high school,standard,none,sometimes,yes,,5 - 10,72,81,84,79.0,1
female,group C,associate's degree,free/reduced,none,regularly,yes,4.0,5 - 10,36,56,54,48.666666666666664,0
male,group B,some college,standard,none,regularly,no,1.0,> 10,75,64,64,67.66666666666667,1
male,group B,associate's degree,standard,none,regularly,yes,,5 - 10,83,74,73,76.66666666666667,1
female,group B,some high school,standard,none,regularly,no,3.0,5 - 10,72,86,85,81.0,1
male,group E,high school,standard,completed,sometimes,yes,5.0,< 5,47,46,44,45.666666666666664,0
female,group C,some college,standard,completed,regularly,yes,3.0,< 5,74,90,86,83.33333333333333,1
female,group C,some college,standard,none,sometimes,no,4.0,5 - 10,87,94,90,90.33333333333333,1
male,group E,some high school,free/reduced,none,sometimes,yes,3.0,5 - 10,43,30,28,33.666666666666664,0
male,group D,master's degree,standard,none,regularly,no,3.0,> 10,77,74,71,74.0,1
female,group C,some high school,free/reduced,none,sometimes,no,2.0,5 - 10,60,67,68,65.0,1
male,group C,,standard,none,never,yes,2.0,5 - 10,55,60,54,56.333333333333336,1
female,,high school,free/reduced,none,sometimes,yes,5.0,> 10,71,85,80,78.66666666666667,1
female,group A,master's degree,standard,,regularly,yes,2.0,> 10,84,88,99,90.33333333333333,1
male,group D,some college,standard,,sometimes,yes,3.0,5 - 10,85,82,90,85.66666666666667,1
female,group B,some high school,free/reduced,,regularly,no,2.0,> 10,45,62,64,57.0,1
female,group B,some high school,free/reduced,completed,sometimes,yes,1.0,5 - 10,60,73,77,70.0,1
male,group E,master's degree,free/reduced,none,sometimes,yes,1.0,5 - 10,79,82,82,81.0,1
female,group D,master's degree,standard,none,sometimes,yes,1.0,5 - 10,64,75,86,75.0,1
male,group D,high school,free/reduced,completed,regularly,yes,0.0,5 - 10,54,59,58,57.0,1
female,group E,high school,standard,none,sometimes,yes,2.0,5 - 10,92,100,93,95.0,1
female,group C,associate's degree,standard,none,regularly,yes,6.0,5 - 10,62,65,70,65.66666666666667,1
male,group C,some college,standard,none,regularly,no,3.0,< 5,83,85,79,82.33333333333333,1
male,group E,associate's degree,free/reduced,none,sometimes,no,2.0,> 10,78,71,69,72.66666666666667,1
male,group E,some high school,standard,completed,sometimes,no,2.0,< 5,95,90,91,92.0,1
female,group B,high school,free/reduced,completed,sometimes,no,5.0,5 - 10,67,78,79,74.66666666666667,1
female,group E,associate's degree,standard,completed,never,yes,1.0,5 - 10,97,96,97,96.66666666666667,1
male,group B,high school,standard,none,never,yes,1.0,5 - 10,76,65,63,68.0,1
female,group C,high school,standard,completed,sometimes,yes,0.0,5 - 10,48,60,52,53.333333333333336,1
female,group C,associate's degree,free/reduced,completed,regularly,yes,3.0,> 10,75,82,85,80.66666666666667,1
male,group C,some college,free/reduced,none,never,yes,,< 5,31,35,30,32.0,0
female,group E,some college,standard,completed,sometimes,yes,0.0,< 5,73,74,80,75.66666666666667,1
male,group C,some high school,free/reduced,none,regularly,yes,3.0,5 - 10,59,60,59,59.333333333333336,1
female,group D,associate's degree,free/reduced,completed,sometimes,yes,1.0,> 10,55,66,69,63.333333333333336,1
female,group C,associate's degree,free/reduced,none,never,no,5.0,> 10,65,79,76,73.33333333333333,1
male,group C,,free/reduced,none,sometimes,yes,0.0,> 10,36,24,24,28.0,0
male,group C,bachelor's degree,free/reduced,none,regularly,yes,4.0,5 - 10,48,47,49,48.0,0
male,group D,associate's degree,standard,completed,sometimes,yes,2.0,< 5,85,83,83,83.66666666666667,1
male,group C,associate's degree,free/reduced,completed,sometimes,no,4.0,5 - 10,84,86,89,86.33333333333333,1
female,group C,,standard,completed,sometimes,no,1.0,< 5,74,94,92,86.66666666666667,1
female,group B,high school,standard,,sometimes,yes,1.0,< 5,74,82,79,78.33333333333333,1
female,group D,bachelor's degree,standard,none,sometimes,yes,2.0,5 - 10,77,84,83,81.33333333333333,1
male,group E,some college,standard,none,regularly,no,2.0,< 5,78,66,69,71.0,1
female,group C,some college,standard,none,regularly,yes,2.0,,87,90,90,89.0,1
male,group C,some high school,standard,completed,sometimes,no,2.0,< 5,56,51,52,53.0,1
male,group C,bachelor's degree,standard,,sometimes,yes,0.0,5 - 10,95,85,82,87.33333333333333,1
female,group B,associate's degree,standard,none,never,yes,3.0,5 - 10,26,38,39,34.333333333333336,0
male,group E,some college,standard,none,regularly,yes,3.0,5 - 10,88,78,73,79.66666666666667,1
female,group B,some college,standard,,regularly,yes,2.0,< 5,71,78,77,75.33333333333333,1
female,group E,some college,free/reduced,none,sometimes,yes,2.0,< 5,66,65,65,65.33333333333333,1
female,,associate's degree,standard,none,sometimes,yes,4.0,> 10,79,73,75,75.66666666666667,1
male,group E,some college,free/reduced,completed,never,yes,1.0,> 10,85,78,76,79.66666666666667,1
male,group A,some college,standard,none,sometimes,yes,4.0,> 10,49,49,42,46.666666666666664,0
female,group E,some college,standard,none,regularly,no,2.0,5 - 10,63,64,65,64.0,1
female,group C,associate's degree,free/reduced,none,sometimes,yes,0.0,5 - 10,60,79,78,72.33333333333333,1
male,group C,high school,standard,none,regularly,yes,3.0,5 - 10,77,70,65,70.66666666666667,1
female,group C,some high school,standard,none,never,yes,2.0,< 5,58,71,71,66.66666666666667,1
male,group D,associate's degree,standard,,regularly,yes,2.0,5 - 10,93,89,87,89.66666666666667,1
female,group B,associate's degree,standard,none,regularly,yes,2.0,> 10,79,76,77,77.33333333333333,1
female,group C,some high school,standard,none,,no,1.0,< 5,65,75,64,68.0,1
male,,some college,standard,none,never,yes,2.0,< 5,63,58,58,59.666666666666664,1
female,group B,high school,free/reduced,none,sometimes,yes,1.0,5 - 10,8,24,23,18.333333333333332,0
male,group D,some college,standard,none,sometimes,yes,0.0,5 - 10,56,56,55,55.666666666666664,1
male,group B,bachelor's degree,standard,completed,regularly,no,3.0,< 5,74,81,75,76.66666666666667,1
female,group B,associate's degree,standard,none,never,yes,0.0,> 10,53,58,51,54.0,1
female,group C,associate's degree,free/reduced,none,regularly,no,2.0,> 10,63,67,73,67.66666666666667,1
male,group E,,standard,none,sometimes,no,4.0,5 - 10,69,60,54,61.0,1
male,,some high school,standard,completed,never,yes,0.0,5 - 10,71,68,71,70.0,1
male,group B,some college,standard,none,regularly,yes,1.0,> 10,67,61,60,62.666666666666664,1
female,,associate's degree,free/reduced,none,regularly,yes,2.0,5 - 10,72,93,86,83.66666666666667,1
male,group C,some college,free/reduced,completed,sometimes,no,2.0,5 - 10,75,72,72,73.0,1
male,group B,high school,standard,none,regularly,no,3.0,5 - 10,88,82,68,79.33333333333333,1
female,group B,some college,free/reduced,none,sometimes,no,3.0,> 10,67,80,80,75.66666666666667,1
male,group B,associate's degree,free/reduced,none,sometimes,no,2.0,5 - 10,39,35,40,38.0,0
female,group B,associate's degree,standard,completed,regularly,,3.0,> 10,55,67,76,66.0,1
male,group C,some college,standard,none,sometimes,yes,1.0,5 - 10,68,63,62,64.33333333333333,1
male,group C,some high school,free/reduced,none,sometimes,yes,2.0,5 - 10,52,61,54,55.666666666666664,1
female,group E,high school,standard,none,regularly,,0.0,< 5,75,79,74,76.0,1
male,group E,,standard,completed,regularly,no,2.0,5 - 10,98,93,85,92.0,1
female,group E,some college,standard,completed,regularly,yes,1.0,5 - 10,70,64,69,67.66666666666667,1
female,group C,some college,free/reduced,,regularly,yes,1.0,,54,64,68,62.0,1
male,group D,some college,standard,none,sometimes,no,3.0,> 10,65,51,51,55.666666666666664,1
male,group C,high school,standard,,sometimes,no,2.0,5 - 10,58,51,48,52.333333333333336,1
male,group B,associate's degree,free/reduced,completed,sometimes,no,2.0,< 5,54,62,54,56.666666666666664,1
male,group C,some high school,free/reduced,none,regularly,yes,3.0,< 5,50,48,48,48.666666666666664,0
male,group E,associate's degree,free/reduced,none,regularly,yes,3.0,5 - 10,67,69,61,65.66666666666667,1
male,group E,some high school,standard,none,regularly,no,1.0,5 - 10,90,78,73,80.33333333333333,1
male,group B,some high school,standard,completed,sometimes,yes,0.0,5 - 10,67,69,61,65.66666666666667,1
male,group B,some college,free/reduced,none,never,yes,3.0,5 - 10,44,44,39,42.333333333333336,0
male,,associate's degree,standard,none,,yes,0.0,< 5,77,73,66,72.0,1
male,group D,some high school,free/reduced,none,regularly,no,3.0,5 - 10,66,68,65,66.33333333333333,1
female,group A,some high school,standard,none,regularly,no,1.0,< 5,79,81,84,81.33333333333333,1
male,group D,some college,free/reduced,none,sometimes,no,4.0,,34,43,35,37.333333333333336,0
male,group C,high school,standard,none,regularly,yes,2.0,5 - 10,50,49,43,47.333333333333336,0
female,group D,bachelor's degree,free/reduced,none,regularly,yes,4.0,> 10,64,73,76,71.0,1
male,group E,some high school,standard,completed,regularly,yes,0.0,< 5,99,95,100,98.0,1
male,group E,some college,standard,none,never,yes,1.0,> 10,74,58,60,64.0,1
female,group C,some college,free/reduced,,regularly,yes,1.0,5 - 10,55,68,60,61.0,1
female,group B,some college,standard,none,never,yes,2.0,> 10,33,39,36,36.0,0
female,group E,high school,standard,none,regularly,yes,0.0,5 - 10,69,78,74,73.66666666666667,1
female,group A,some college,standard,completed,regularly,yes,1.0,5 - 10,66,69,75,70.0,1
female,group A,associate's degree,free/reduced,none,sometimes,yes,1.0,5 - 10,39,53,44,45.333333333333336,0
female,group C,some college,standard,completed,sometimes,yes,2.0,5 - 10,66,69,76,70.33333333333333,1
female,group B,high school,standard,none,regularly,,2.0,5 - 10,83,78,82,81.0,1
male,group E,associate's degree,free/reduced,none,never,yes,1.0,5 - 10,77,80,76,77.66666666666667,1
male,group C,high school,standard,completed,never,yes,2.0,< 5,41,43,39,41.0,0
male,group C,,standard,none,sometimes,yes,2.0,< 5,70,61,58,63.0,1
male,group A,master's degree,standard,completed,never,yes,2.0,< 5,93,98,95,95.33333333333333,1
male,group A,some college,free/reduced,none,never,yes,1.0,5 - 10,56,59,55,56.666666666666664,1
female,group C,high school,free/reduced,none,regularly,yes,1.0,< 5,52,61,65,59.333333333333336,1
male,group D,master's degree,standard,completed,sometimes,yes,6.0,< 5,77,73,80,76.66666666666667,1
female,group A,some college,standard,none,regularly,,2.0,5 - 10,47,58,59,54.666666666666664,1
female,group C,some college,standard,none,regularly,no,2.0,5 - 10,77,82,78,79.0,1
male,group C,high school,standard,completed,regularly,yes,2.0,< 5,74,72,71,72.33333333333333,1
male,group D,master's degree,standard,completed,sometimes,yes,2.0,5 - 10,77,76,73,75.33333333333333,1
female,group C,some college,free/reduced,none,sometimes,no,1.0,< 5,34,41,47,40.666666666666664,0
female,group D,master's degree,standard,completed,never,yes,7.0,< 5,61,69,78,69.33333333333333,1
male,group B,some college,standard,none,regularly,yes,2.0,< 5,61,69,64,64.66666666666667,1
female,group B,associate's degree,standard,completed,never,yes,5.0,5 - 10,66,75,78,73.0,1
female,group E,master's degree,standard,none,sometimes,no,3.0,5 - 10,84,96,93,91.0,1
female,group D,some high school,standard,none,sometimes,no,3.0,< 5,73,82,81,78.66666666666667,1
male,group B,some college,free/reduced,completed,never,yes,2.0,< 5,40,44,43,42.333333333333336,0
female,group C,bachelor's degree,standard,,sometimes,no,4.0,5 - 10,75,84,85,81.33333333333333,1
male,group B,some college,standard,none,regularly,yes,7.0,5 - 10,52,55,51,52.666666666666664,1
female,group A,some college,standard,none,sometimes,,1.0,< 5,65,84,80,76.33333333333333,1
female,group D,some college,standard,,regularly,no,2.0,5 - 10,77,85,85,82.33333333333333,1
male,group D,some college,standard,completed,sometimes,yes,1.0,< 5,78,65,72,71.66666666666667,1
female,,some high school,free/reduced,none,regularly,no,3.0,< 5,36,48,46,43.333333333333336,0
female,group C,some college,standard,none,sometimes,yes,0.0,5 - 10,58,67,72,65.66666666666667,1
male,group C,associate's degree,free/reduced,none,regularly,no,2.0,5 - 10,72,71,67,70.0,1
female,,some high school,standard,none,regularly,yes,2.0,5 - 10,76,75,71,74.0,1
male,group C,associate's degree,standard,completed,never,no,3.0,< 5,82,91,91,88.0,1
female,group C,bachelor's degree,free/reduced,none,sometimes,yes,2.0,5 - 10,79,80,85,81.33333333333333,1
male,group C,high school,standard,none,sometimes,no,3.0,,58,60,56,58.0,1
female,group E,high school,standard,none,sometimes,no,3.0,5 - 10,70,64,66,66.66666666666667,1
male,,associate's degree,standard,none,never,,2.0,> 10,86,79,77,80.66666666666667,1
female,group E,associate's degree,standard,none,sometimes,yes,1.0,< 5,82,89,93,88.0,1
female,group D,some high school,free/reduced,completed,regularly,no,1.0,5 - 10,82,92,97,90.33333333333333,1
male,group D,high school,free/reduced,completed,sometimes,yes,4.0,5 - 10,70,67,70,69.0,1
female,group D,some high school,standard,none,regularly,yes,4.0,5 - 10,58,60,63,60.333333333333336,1
male,group C,associate's degree,free/reduced,completed,sometimes,no,2.0,< 5,75,79,80,78.0,1
male,,associate's degree,free/reduced,completed,regularly,yes,0.0,5 - 10,64,66,73,67.66666666666667,1
female,group E,high school,free/reduced,,sometimes,yes,0.0,5 - 10,74,67,73,71.33333333333333,1
female,group D,master's degree,standard,,regularly,yes,2.0,< 5,68,82,82,77.33333333333333,1
female,group C,high school,standard,none,sometimes,yes,3.0,< 5,67,74,77,72.66666666666667,1
male,group A,some college,standard,none,sometimes,no,1.0,5 - 10,43,38,37,39.333333333333336,0
male,group B,associate's degree,free/reduced,none,sometimes,no,1.0,5 - 10,49,43,45,45.666666666666664,0
male,,associate's degree,standard,none,regularly,no,3.0,5 - 10,69,60,60,63.0,1
male,group C,some college,standard,completed,never,yes,2.0,< 5,60,61,64,61.666666666666664,1
male,group B,associate's degree,standard,completed,regularly,no,4.0,5 - 10,74,86,84,81.33333333333333,1
male,group E,,standard,none,sometimes,,1.0,5 - 10,90,77,81,82.66666666666667,1
female,group C,associate's degree,free/reduced,completed,sometimes,no,2.0,> 10,60,69,64,64.33333333333333,1
female,group C,associate's degree,standard,completed,sometimes,no,1.0,5 - 10,84,92,93,89.66666666666667,1
male,group C,high school,free/reduced,none,sometimes,no,1.0,< 5,72,72,66,70.0,1
female,group A,high school,standard,completed,regularly,yes,4.0,5 - 10,83,92,92,89.0,1
female,group E,some college,standard,none,sometimes,no,3.0,5 - 10,74,73,72,73.0,1
male,group E,some college,standard,completed,regularly,no,3.0,> 10,65,59,57,60.333333333333336,1
male,group B,associate's degree,standard,none,never,yes,2.0,< 5,74,75,72,73.66666666666667,1
male,group D,associate's degree,standard,none,sometimes,yes,2.0,5 - 10,46,44,38,42.666666666666664,0
male,group C,some high school,free/reduced,none,regularly,no,1.0,5 - 10,39,32,33,34.666666666666664,0
female,group B,high school,standard,completed,sometimes,yes,1.0,5 - 10,62,78,74,71.33333333333333,1
male,group C,some college,standard,completed,never,yes,1.0,5 - 10,80,76,77,77.66666666666667,1
male,group C,,free/reduced,,sometimes,no,1.0,5 - 10,45,47,48,46.666666666666664,0
female,group E,high school,standard,none,regularly,no,2.0,5 - 10,56,66,65,62.333333333333336,1
male,group B,associate's degree,standard,completed,regularly,,2.0,5 - 10,80,78,75,77.66666666666667,1
male,group B,some high school,free/reduced,none,sometimes,no,3.0,< 5,60,66,55,60.333333333333336,1
male,group D,bachelor's degree,standard,,regularly,yes,3.0,5 - 10,79,70,70,73.0,1
female,group D,some college,standard,none,regularly,yes,1.0,> 10,75,79,83,79.0,1
male,group B,associate's degree,standard,none,sometimes,no,1.0,> 10,74,65,69,69.33333333333333,1
female,group D,high school,standard,none,sometimes,no,1.0,5 - 10,63,69,67,66.33333333333333,1
male,group D,associate's degree,standard,,regularly,yes,2.0,5 - 10,72,64,63,66.33333333333333,1
female,group B,associate's degree,standard,completed,sometimes,no,5.0,< 5,69,85,84,79.33333333333333,1
female,group B,some college,free/reduced,none,never,no,2.0,> 10,46,45,48,46.333333333333336,0
female,group C,high school,free/reduced,none,sometimes,yes,0.0,5 - 10,76,80,85,80.33333333333333,1
male,,some college,standard,none,sometimes,yes,0.0,< 5,71,64,65,66.66666666666667,1
male,group E,associate's degree,standard,none,sometimes,yes,3.0,5 - 10,73,55,46,58.0,1
male,group A,some college,free/reduced,none,regularly,yes,2.0,5 - 10,54,60,51,55.0,1
female,group E,some high school,standard,completed,never,yes,4.0,5 - 10,91,95,87,91.0,1
male,group C,some high school,free/reduced,completed,regularly,no,2.0,5 - 10,67,74,65,68.66666666666667,1
female,group D,bachelor's degree,standard,none,regularly,yes,2.0,< 5,82,92,94,89.33333333333333,1
female,group A,high school,standard,completed,sometimes,yes,3.0,5 - 10,78,98,96,90.66666666666667,1
female,group C,high school,standard,none,regularly,yes,6.0,,65,79,77,73.66666666666667,1
male,group D,bachelor's degree,standard,none,never,no,4.0,< 5,49,52,47,49.333333333333336,0
male,group E,some college,standard,none,regularly,no,4.0,< 5,89,88,86,87.66666666666667,1
female,group C,associate's degree,standard,,sometimes,no,1.0,< 5,69,86,87,80.66666666666667,1
female,group C,associate's degree,free/reduced,none,regularly,no,1.0,5 - 10,61,79,76,72.0,1
male,group C,some college,standard,none,regularly,yes,0.0,> 10,54,46,38,46.0,0
female,group C,high school,standard,,sometimes,,3.0,5 - 10,66,81,79,75.33333333333333,1
female,group D,bachelor's degree,free/reduced,none,never,yes,1.0,< 5,44,56,48,49.333333333333336,0
female,group C,some high school,free/reduced,none,never,no,2.0,5 - 10,60,62,59,60.333333333333336,1
female,group C,some college,free/reduced,none,regularly,no,3.0,5 - 10,58,75,73,68.66666666666667,1
female,group D,master's degree,standard,none,regularly,no,1.0,< 5,82,92,95,89.66666666666667,1
male,group C,high school,standard,none,regularly,yes,3.0,5 - 10,82,82,75,79.66666666666667,1
female,group C,some college,standard,none,regularly,yes,1.0,,59,64,60,61.0,1
male,group B,high school,standard,none,sometimes,yes,3.0,5 - 10,78,77,71,75.33333333333333,1
female,group D,high school,standard,none,sometimes,no,3.0,> 10,55,66,64,61.666666666666664,1
male,group D,some college,free/reduced,,sometimes,yes,1.0,5 - 10,90,88,86,88.0,1
female,group D,some college,standard,completed,regularly,yes,1.0,5 - 10,91,100,100,97.0,1
male,group D,associate's degree,standard,none,sometimes,yes,1.0,< 5,79,78,74,77.0,1
male,group E,some high school,free/reduced,completed,never,yes,2.0,5 - 10,45,29,27,33.666666666666664,0
male,group B,bachelor's degree,standard,none,sometimes,no,3.0,> 10,62,47,48,52.333333333333336,1
female,group D,some college,standard,none,sometimes,yes,4.0,> 10,59,73,74,68.66666666666667,1
male,group A,associate's degree,standard,completed,sometimes,yes,2.0,5 - 10,100,97,96,97.66666666666667,1
female,group C,associate's degree,standard,completed,sometimes,yes,2.0,< 5,75,98,97,90.0,1
male,group B,some college,free/reduced,none,sometimes,no,1.0,5 - 10,43,47,42,44.0,0
male,group E,master's degree,standard,none,regularly,no,1.0,5 - 10,100,93,95,96.0,1
female,group C,bachelor's degree,standard,completed,sometimes,no,5.0,< 5,81,98,98,92.33333333333333,1
male,group C,high school,free/reduced,none,regularly,,2.0,5 - 10,62,56,56,58.0,1
male,group D,associate's degree,standard,,sometimes,yes,1.0,5 - 10,71,77,68,72.0,1
female,group B,high school,standard,none,sometimes,yes,3.0,< 5,77,91,88,85.33333333333333,1
male,group C,some college,standard,none,sometimes,yes,1.0,5 - 10,60,56,49,55.0,1
female,group C,master's degree,standard,none,sometimes,yes,2.0,5 - 10,62,78,74,71.33333333333333,1
female,group C,associate's degree,standard,none,regularly,no,1.0,5 - 10,62,70,62,64.66666666666667,1
female,group A,some college,standard,none,sometimes,yes,0.0,5 - 10,64,71,78,71.0,1
male,group C,associate's degree,standard,completed,sometimes,no,3.0,< 5,88,93,89,90.0,1
male,group E,some high school,standard,none,sometimes,yes,0.0,5 - 10,77,68,59,68.0,1
female,group E,bachelor's degree,standard,none,regularly,no,7.0,5 - 10,94,95,93,94.0,1
male,,some college,standard,none,regularly,yes,2.0,5 - 10,67,65,61,64.33333333333333,1
male,group E,some high school,standard,completed,regularly,yes,3.0,< 5,92,90,89,90.33333333333333,1
female,group C,some high school,free/reduced,none,sometimes,no,4.0,5 - 10,41,57,53,50.333333333333336,1
male,group E,master's degree,standard,none,regularly,no,4.0,< 5,96,95,93,94.66666666666667,1
male,group D,,standard,none,sometimes,yes,,< 5,68,56,59,61.0,1
female,group A,associate's degree,free/reduced,none,regularly,yes,1.0,5 - 10,63,60,62,61.666666666666664,1
male,group E,some college,standard,none,never,yes,1.0,< 5,60,62,58,60.0,1
male,group B,some college,free/reduced,none,sometimes,yes,1.0,5 - 10,67,74,64,68.33333333333333,1
female,group B,master's degree,standard,completed,regularly,yes,1.0,> 10,72,77,82,77.0,1
male,group D,associate's degree,standard,none,sometimes,yes,0.0,< 5,90,84,80,84.66666666666667,1
female,group D,associate's degree,standard,completed,regularly,yes,2.0,5 - 10,86,81,89,85.33333333333333,1
male,group C,high school,standard,none,regularly,yes,1.0,< 5,57,45,46,49.333333333333336,0
female,group C,high school,standard,completed,regularly,yes,1.0,5 - 10,88,98,100,95.33333333333333,1
female,group B,high school,free/reduced,none,sometimes,yes,,< 5,56,74,64,64.66666666666667,1
male,group D,high school,standard,completed,sometimes,yes,1.0,5 - 10,52,53,47,50.666666666666664,1
male,group C,high school,standard,none,regularly,no,1.0,5 - 10,70,56,47,57.666666666666664,1
male,group D,master's degree,standard,none,never,no,2.0,5 - 10,77,77,74,76.0,1
female,group B,associate's degree,standard,completed,sometimes,yes,0.0,> 10,89,98,97,94.66666666666667,1
male,group C,bachelor's degree,standard,none,never,yes,2.0,5 - 10,74,75,72,73.66666666666667,1
female,group B,some college,standard,completed,regularly,yes,1.0,> 10,90,97,98,95.0,1
